0000000000901,00002.539003,00001.858062,00002.078640,00002.728644,00002.680664,00002.642059,00002.701043,00003.329795,00002.769084,00002.043551,-00000.298542,00000.081109,-00000.338945,00000.071341,-00000.012716,-00000.018647
0000000000902,00002.539293,00001.858498,00002.079769,00002.729666,00002.680921,00002.642286,00002.701183,00003.329620,00002.769666,00002.044035,-00000.298468,00000.081292,-00000.339128,00000.071069,-00000.012883,-00000.018677
0000000000903,00002.539483,00001.858579,00002.080823,00002.730311,00002.680759,00002.642453,00002.701010,00003.329867,00002.769816,00002.044421,-00000.298410,00000.081383,-00000.339335,00000.071254,-00000.012639,-00000.018777
0000000000904,00002.539368,00001.858587,00002.081784,00002.730456,00002.680978,00002.642283,00002.701129,00003.329718,00002.769949,00002.044833,-00000.298347,00000.081176,-00000.339491,00000.071022,-00000.012781,-00000.018802
0000000000905,00002.539529,00001.859020,00002.082681,00002.731730,00002.681202,00002.642425,00002.701344,00003.329928,00002.770440,00002.045162,-00000.298297,00000.080890,-00000.339667,00000.070817,-00000.012937,-00000.018887
0000000000906,00002.539794,00001.859389,00002.083499,00002.733305,00002.681389,00002.642643,00002.701446,00003.329801,00002.770916,00002.045513,-00000.298243,00000.080714,-00000.339800,00000.070619,-00000.012695,-00000.018908
0000000000907,00002.539932,00001.859394,00002.084263,00002.734390,00002.681943,00002.643126,00002.701629,00003.329980,00002.770971,00002.046155,-00000.298201,00000.080471,-00000.340312,00000.070444,-00000.012827,-00000.018981
0000000000908,00002.540520,00001.859346,00002.084959,00002.736093,00002.682101,00002.643675,00002.701715,00003.329872,00002.771377,00002.046454,-00000.298155,00000.080321,-00000.340425,00000.070276,-00000.012621,-00000.018999
0000000000909,00002.541000,00001.859351,00002.086335,00002.737017,00002.682573,00002.644087,00002.701871,00003.330024,00002.771786,00002.047001,-00000.298119,00000.080477,-00000.340499,00000.070490,-00000.012371,-00000.019061
0000000000910,00002.541138,00001.859310,00002.089104,00002.738103,00002.682708,00002.644554,00002.701582,00003.329933,00002.772131,00002.047255,-00000.298080,00000.080713,-00000.340595,00000.070710,-00000.012195,-00000.019076
0000000000911,00002.541183,00001.859313,00002.091727,00002.739615,00002.682747,00002.644904,00002.701715,00003.329699,00002.772843,00002.047358,-00000.298050,00000.080845,-00000.340295,00000.070892,-00000.011982,-00000.019129
0000000000912,00002.541301,00001.859279,00002.094447,00002.740178,00002.683224,00002.645302,00002.701832,00003.329621,00002.773137,00002.047937,-00000.298016,00000.081046,-00000.340014,00000.071442,-00000.011833,-00000.019142
0000000000913,00002.541340,00001.859282,00002.095954,00002.740739,00002.683620,00002.645600,00002.702307,00003.329785,00002.773380,00002.048025,-00000.297990,00000.081159,-00000.340121,00000.071960,-00000.011652,-00000.019549
0000000000914,00002.541440,00001.859252,00002.095731,00002.741218,00002.684027,00002.645939,00002.702407,00003.330082,00002.773267,00002.048155,-00000.297962,00000.081329,-00000.339882,00000.072428,-00000.011525,-00000.019561
0000000000915,00002.541473,00001.859618,00002.095562,00002.742059,00002.684364,00002.646193,00002.702449,00003.329859,00002.773836,00002.048592,-00000.297940,00000.081425,-00000.339611,00000.072869,-00000.011370,-00000.019545
0000000000916,00002.541921,00001.859592,00002.095372,00002.742467,00002.684347,00002.646481,00002.702171,00003.330111,00002.774103,00002.049066,-00000.297916,00000.081208,-00000.339770,00000.073267,-00000.011262,-00000.019554
0000000000917,00002.541949,00001.859541,00002.095228,00002.742820,00002.684634,00002.646334,00002.702206,00003.330284,00002.774225,00002.049438,-00000.297897,00000.081290,-00000.339539,00000.073280,-00000.011493,-00000.019541
0000000000918,00002.542330,00001.859519,00002.095066,00002.743167,00002.684620,00002.646579,00002.701970,00003.330499,00002.774452,00002.049842,-00000.297514,00000.081467,-00000.339312,00000.073256,-00000.011764,-00000.019549
0000000000919,00002.541991,00001.859475,00002.094944,00002.743467,00002.684501,00002.646455,00002.702000,00003.330283,00002.774919,00002.050158,-00000.297135,00000.081900,-00000.338752,00000.073630,-00000.011961,-00000.019537
0000000000920,00002.541953,00001.859457,00002.094806,00002.744126,00002.684126,00002.646663,00002.702161,00003.330103,00002.775475,00002.050502,-00000.296809,00000.082413,-00000.338196,00000.074335,-00000.011829,-00000.019544
0000000000921,00002.542027,00001.859057,00002.094702,00002.744019,00002.684025,00002.646920,00002.701825,00003.330282,00002.775510,00002.050772,-00000.296849,00000.082419,-00000.337719,00000.074653,-00000.011634,-00000.019535
0000000000922,00002.541632,00001.859041,00002.094222,00002.743853,00002.683706,00002.646372,00002.701962,00003.329766,00002.775621,00002.050701,-00000.296934,00000.082494,-00000.337609,00000.074891,-00000.011521,-00000.019540
0000000000923,00002.541695,00001.859063,00002.093771,00002.744125,00002.683257,00002.646228,00002.701675,00003.329556,00002.775650,00002.050568,-00000.296968,00000.082135,-00000.337566,00000.075162,-00000.011355,-00000.019532
